facility_id_nunique,SO2_sum,SO2_mean,NOx_sum,NOx_mean,PM10_sum,PM10_mean,PM2.5_sum,PM2.5_mean,CO_sum,CO_mean
1,190.21,190.21,253.62,253.62,507.23,507.23,317.02,317.02,95.11,95.11
2,4021.83,2010.92,5362.44,2681.22,6703.04,3351.52,4021.83,2010.92,804.36,402.18
3,2130.66,710.22,3195.99,1065.33,1331.66,443.89,799.0,266.33,1598.0,532.67
3,350.74,116.91,526.11,175.37,701.49,233.83,350.74,116.91,175.38,58.46
1,949.72,949.72,1424.57,1424.57,474.86,474.86,316.57,316.57,316.57,316.57
4,2111.54,527.88,3167.31,791.83,1407.69,351.92,879.81,219.95,703.85,175.96
1,2291.67,2291.67,2864.59,2864.59,2062.5,2062.5,1145.84,1145.84,916.67,916.67
2,5128.99,2564.5,6154.79,3077.4,2461.92,1230.96,1641.27,820.64,1025.8,512.9
1,911.2,303.73,1214.94,404.98,2429.87,809.96,1518.67,506.22,455.61,151.87
2,6754.2,1125.7,9005.6,1500.93,11256.98,1876.16,6754.2,1125.7,1350.84,225.14
3,7450.04,827.78,11175.06,1241.67,4656.28,517.36,2793.77,310.42,5587.54,620.84
3,885.31,98.37,1327.97,147.55,1770.62,196.74,885.31,98.37,442.66,49.18
1,3409.34,1136.45,5114.02,1704.67,1704.68,568.23,1136.44,378.81,1136.44,378.81
4,5420.17,451.68,8130.26,677.52,3613.44,301.12,2258.41,188.2,1806.72,150.56
1,3483.7,1161.23,4354.62,1451.54,3135.33,1045.11,1741.85,580.62,1393.48,464.49
2,13640.88,2273.48,16369.04,2728.17,6547.63,1091.27,4365.07,727.51,2728.18,454.7
