Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,176.72,293.41,16.14,33.28,39.02,39.34,10.35,1.16,15.87,1.66,6.99,0.57,,3.19,2.25,11.33,72.1,0.71,174.72,0.0,0.0,48.9,974.97,0.23
2024-01-02,180.68,293.65,20.43,35.29,44.79,38.26,11.74,1.17,17.5,1.61,5.87,0.61,,3.13,2.66,10.86,69.47,0.68,169.78,0.0,0.0,62.71,974.54,0.3
2024-01-03,188.29,301.05,25.54,39.4,50.55,43.02,9.8,1.49,15.24,2.23,11.73,0.59,,2.96,2.16,10.23,80.3,0.65,163.83,0.0,0.0,49.39,974.49,0.33
2024-01-04,209.85,338.84,28.76,39.25,51.13,41.72,10.68,1.32,11.69,2.44,9.57,0.64,,2.72,1.98,10.4,81.24,0.77,200.43,0.0,0.0,34.4,974.56,0.34
2024-01-05,158.92,274.73,24.26,39.86,46.11,44.34,11.29,1.27,14.35,2.29,10.36,0.93,,2.9,1.91,11.36,81.84,0.7,190.68,0.0,0.0,29.07,974.46,0.3
2024-01-06,170.34,279.28,21.79,43.11,45.24,40.93,11.09,1.31,16.88,2.04,15.51,0.99,,2.15,1.73,10.83,75.78,0.77,177.52,0.0,0.0,48.87,975.28,0.16
2024-01-07,167.26,278.89,21.32,41.48,43.44,37.48,10.52,1.3,23.44,1.97,18.08,13.22,,2.61,2.11,11.16,72.25,0.71,190.62,0.0,0.0,67.09,975.59,0.04
2024-01-08,226.7,400.52,30.28,49.33,55.69,37.6,13.45,1.53,15.74,2.67,16.9,1.01,,2.82,2.31,10.3,78.96,0.63,186.35,0.0,0.0,49.68,975.64,0.14
2024-01-09,131.23,227.18,18.7,37.22,39.29,37.37,9.5,1.12,16.62,2.02,10.45,1.02,,2.52,2.13,10.56,78.81,0.93,194.09,0.0,0.0,33.66,971.51,0.2
2024-01-10,155.64,260.58,21.24,39.22,41.01,38.59,9.97,1.25,17.89,2.08,7.97,1.17,,2.77,2.42,9.82,76.24,1.1,205.24,0.0,0.0,60.49,963.93,0.3
2024-01-11,188.21,313.92,23.32,46.2,46.35,39.82,10.72,1.47,24.32,2.7,11.15,1.19,,2.95,2.58,10.41,73.99,0.85,205.65,0.0,0.0,72.19,963.96,0.36
2024-01-12,180.33,282.21,32.54,54.69,57.1,42.7,10.62,1.5,21.83,3.29,16.26,1.18,,3.5,4.18,10.01,75.47,0.73,189.53,0.0,0.0,72.17,964.11,0.08
2024-01-13,350.27,510.74,63.49,66.82,92.01,50.09,12.69,2.39,23.2,6.05,28.86,1.16,,6.03,10.7,9.86,78.56,0.58,165.0,0.0,0.0,61.16,963.27,0.11
2024-01-14,320.95,456.8,66.56,61.27,90.82,47.42,13.59,2.41,23.88,6.22,26.38,1.15,,7.57,12.89,9.97,77.79,0.65,181.62,0.0,0.0,61.96,963.41,0.05
2024-01-15,181.65,281.53,52.16,55.91,75.6,41.02,12.97,1.74,20.36,3.71,17.47,1.18,,4.03,5.68,10.22,73.72,0.67,188.98,0.0,0.0,79.35,963.34,0.12
2024-01-16,241.14,351.77,49.35,55.28,73.75,47.33,10.18,1.87,18.76,4.47,21.52,0.47,,3.7,6.68,9.85,80.25,0.93,159.62,0.01,0.0,66.29,962.07,0.2
2024-01-17,204.43,328.72,27.82,51.96,53.73,42.3,10.87,1.39,23.11,2.81,13.01,0.16,,2.0,2.23,10.55,73.28,0.82,173.53,0.0,0.0,74.5,961.82,0.26
2024-01-18,171.55,279.26,33.43,52.9,58.86,43.02,11.82,1.35,17.65,2.58,14.59,0.17,,1.62,1.76,10.51,79.01,0.71,173.37,0.0,0.0,64.0,964.18,0.17
