vehicle_id,timestamp,latitude,longitude,speed_m_s,CO,NOx,PM2.5,CO2
DL1PC3169,2025-10-16T19:50:21+05:30,28.592348,77.295059,0.0,0.0,0.0,0.0,0.0
DL1PC3158,2025-10-16T19:50:07+05:30,28.566236,77.191383,0.0,0.0,0.0,0.0,0.0
DL1PC3071,2025-10-16T19:49:58+05:30,28.528725,77.288918,0.0,0.0,0.0,0.0,0.0
DL1PC9964,2025-10-16T19:49:49+05:30,28.599701,77.340485,0.0,0.0,0.0,0.0,0.0
DL1PC9996,2025-10-16T19:49:49+05:30,28.515299,77.228661,0.0,0.0,0.0,0.0,0.0
DL1PC9907,2025-10-16T19:49:44+05:30,28.613087,77.298592,0.0,0.0,0.0,0.0,0.0
DL1PC3129,2025-10-16T19:49:44+05:30,28.613724,77.34127,0.0,0.0,0.0,0.0,0.0
DL1PC9992,2025-10-16T19:49:44+05:30,28.560848,77.335785,0.0,0.0,0.0,0.0,0.0
DL1PC3170,2025-10-16T19:49:43+05:30,28.717606,77.243088,0.0,0.0,0.0,0.0,0.0
DL1PC3069,2025-10-16T19:49:43+05:30,28.561842,77.337379,0.0,0.0,0.0,0.0,0.0
DL1PC3177,2025-10-16T19:49:39+05:30,28.584173,77.32766,0.0,0.0,0.0,0.0,0.0
DL1PC3207,2025-10-16T19:49:38+05:30,28.621746,77.373856,0.0,0.0,0.0,0.0,0.0
DL1PC3913,2025-10-16T19:49:35+05:30,28.512447,77.243568,0.0,0.0,0.0,0.0,0.0
DL1PC9987,2025-10-16T19:49:27+05:30,28.572823,77.258949,0.0,0.0,0.0,0.0,0.0
DL1PC3119,2025-10-16T19:49:23+05:30,28.580948,77.323769,0.0,0.0,0.0,0.0,0.0
DL1PC3160,2025-10-16T19:49:03+05:30,28.755503,77.242905,0.0,0.0,0.0,0.0,0.0
DL51GD2767,2025-10-16T19:47:59+05:30,28.547951,77.254997,0.0,0.0,0.0,0.0,0.0
DL51GD2757,2025-10-16T19:47:59+05:30,28.577801,77.213867,0.0,0.0,0.0,0.0,0.0
DL1PD7071,2025-10-16T19:47:59+05:30,28.653391,77.185883,0.0,0.0,0.0,0.0,0.0
DL1PD7216,2025-10-16T19:47:59+05:30,28.60232,77.229248,0.0,0.0,0.0,0.0,0.0
DL51EV1467,2025-10-16T19:47:59+05:30,28.522299,77.197868,0.0,0.0,0.0,0.0,0.0
DL51EV1283,2025-10-16T19:47:59+05:30,28.736431,77.246994,0.0,0.0,0.0,0.0,0.0
DL51GD8990,2025-10-16T19:47:59+05:30,28.565611,77.247353,0.0,0.0,0.0,0.0,0.0
DL1PD6974,2025-10-16T19:47:59+05:30,28.71932,77.265831,0.0,0.0,0.0,0.0,0.0
DL51EV1759,2025-10-16T19:47:59+05:30,28.658436,77.289597,0.0,0.0,0.0,0.0,0.0
DL51EV3135,2025-10-16T19:47:59+05:30,28.548634,77.255699,0.0,0.0,0.0,0.0,0.0
DL1PD7232,2025-10-16T19:47:59+05:30,28.628111,77.262589,0.0,0.0,0.0,0.0,0.0
DL51EV1266,2025-10-16T19:47:58+05:30,28.717533,77.202782,0.0,0.0,0.0,0.0,0.0
DL51GD2321,2025-10-16T19:47:58+05:30,28.684126,77.010483,0.0,0.0,0.0,0.0,0.0
DL1PD7219,2025-10-16T19:47:58+05:30,28.706091,77.223618,0.0,0.0,0.0,0.0,0.0
DL51GD2327,2025-10-16T19:47:58+05:30,28.545389,77.248253,0.0,0.0,0.0,0.0,0.0
DL51EV9703,2025-10-16T19:47:58+05:30,28.625601,77.281036,0.0,0.0,0.0,0.0,0.0
DL1PD6735,2025-10-16T19:47:58+05:30,28.524799,77.230476,0.0,0.0,0.0,0.0,0.0
DL51EV1278,2025-10-16T19:47:58+05:30,28.68474,77.221992,0.0,0.0,0.0,0.0,0.0
DL51GD2299,2025-10-16T19:47:58+05:30,28.636114,77.095055,0.0,0.0,0.0,0.0,0.0
DL51EV0876,2025-10-16T19:47:58+05:30,28.741726,77.197784,0.0,0.0,0.0,0.0,0.0
DL51EV9974,2025-10-16T19:47:58+05:30,28.64045,77.20472,0.0,0.0,0.0,0.0,0.0
DL1PD7002,2025-10-16T19:47:58+05:30,28.671591,77.269119,0.0,0.0,0.0,0.0,0.0
DL51GD2278,2025-10-16T19:47:58+05:30,28.523027,77.196892,0.0,0.0,0.0,0.0,0.0
DL1PD4860,2025-10-16T19:36:26+05:30,28.682306,77.030907,0.0,0.0,0.0,0.0,0.0
DL1PD6015,2025-10-16T19:38:42+05:30,28.614151,77.001793,0.0,0.0,0.0,0.0,0.0
DL1PD5307,2025-10-16T19:38:46+05:30,28.683203,77.017487,0.0,0.0,0.0,0.0,0.0
DL1PD5985,2025-10-16T19:40:37+05:30,28.623846,77.063164,0.0,0.0,0.0,0.0,0.0
DL1PD4201,2025-10-16T19:41:08+05:30,28.682072,77.052559,0.0,0.0,0.0,0.0,0.0
DL1PD5925,2025-10-16T19:41:37+05:30,28.682497,77.032097,0.0,0.0,0.0,0.0,0.0
DL1PD4547,2025-10-16T19:41:54+05:30,28.617859,77.078079,0.0,0.0,0.0,0.0,0.0
DL1PD5018,2025-10-16T19:42:17+05:30,28.604753,77.177773,0.0,0.0,0.0,0.0,0.0
DL1PD5927,2025-10-16T19:43:38+05:30,28.652477,77.107735,0.0,0.0,0.0,0.0,0.0
DL1PD4813,2025-10-16T19:44:08+05:30,28.682489,77.030487,0.0,0.0,0.0,0.0,0.0
DL1PD5377,2025-10-16T19:44:53+05:30,28.617374,77.110947,0.0,0.0,0.0,0.0,0.0
DL1PD4810,2025-10-16T19:44:55+05:30,28.732958,77.157455,0.0,0.0,0.0,0.0,0.0
DL1PD6073,2025-10-16T19:45:47+05:30,28.682423,77.043564,0.0,0.0,0.0,0.0,0.0
DL1PD5914,2025-10-16T19:45:48+05:30,28.623985,77.068192,0.0,0.0,0.0,0.0,0.0
DL51GD0295,2025-10-16T19:45:57+05:30,28.74229,77.197884,0.0,0.0,0.0,0.0,0.0
DL1PD5896,2025-10-16T19:46:13+05:30,28.682322,77.033134,0.0,0.0,0.0,0.0,0.0
DL1PD5894,2025-10-16T19:46:20+05:30,28.596571,77.135727,0.0,0.0,0.0,0.0,0.0
DL1PD6001,2025-10-16T19:46:25+05:30,28.575148,77.117653,0.0,0.0,0.0,0.0,0.0
DL1PD4421,2025-10-16T19:46:40+05:30,28.717566,77.063965,0.0,0.0,0.0,0.0,0.0
DL51GD5746,2025-10-16T19:47:00+05:30,28.799265,77.139145,0.0,0.0,0.0,0.0,0.0
DL1PD5511,2025-10-16T19:47:12+05:30,28.769104,77.016632,0.0,0.0,0.0,0.0,0.0
DL1PD5243,2025-10-16T19:47:22+05:30,28.684883,77.196068,0.0,0.0,0.0,0.0,0.0
DL1PD6290,2025-10-16T19:47:33+05:30,28.773296,77.073494,0.0,0.0,0.0,0.0,0.0
DL1PD5441,2025-10-16T19:47:46+05:30,28.640627,77.240906,0.0,0.0,0.0,0.0,0.0
DL1PD4953,2025-10-16T19:47:48+05:30,28.682396,77.043213,0.0,0.0,0.0,0.0,0.0
DL1PD5618,2025-10-16T19:47:57+05:30,28.768702,77.064186,0.0,0.0,0.0,0.0,0.0
DL1PD5275,2025-10-16T19:48:02+05:30,28.726339,77.099609,0.0,0.0,0.0,0.0,0.0
